,Sample Name,run_accession,analyte_type,submitted_subject_id
8,700015671,SRR045367,G_DNA_L_Antecubital fossa,158924089.0
18,700015298,SRR045377,G_DNA_R_Antecubital fossa,158802708.0
42,700033035,SRR045401,G_DNA_Anterior nares,159247771.0
43,700016091,SRR045402,G_DNA_R_Retroauricular crease,159005010.0
44,700016178,SRR045403,G_DNA_Anterior nares,159146620.0
46,700016079,SRR045405,G_DNA_L_Retroauricular crease,158964549.0
47,700015271,SRR045406,G_DNA_Buccal mucosa,158802708.0
48,700033187,SRR045407,G_DNA_R_Antecubital fossa,159733294.0
49,700016327,SRR045408,G_DNA_Palatine Tonsils,159085930.0
50,700015656,SRR045409,G_DNA_Throat,158924089.0
51,700016661,SRR045410,G_DNA_R_Antecubital fossa,159166850.0
53,700016092,SRR045412,G_DNA_L_Antecubital fossa,159005010.0
54,700015283,SRR045413,G_DNA_Supragingival plaque,158802708.0
55,700016081,SRR045414,G_DNA_R_Retroauricular crease,158964549.0
56,700016335,SRR045415,G_DNA_L_Retroauricular crease,159085930.0
57,700016339,SRR045416,G_DNA_L_Antecubital fossa,159085930.0
58,700016176,SRR045417,G_DNA_R_Antecubital fossa,159146620.0
61,700033781,SRR045420,G_DNA_L_Antecubital fossa,159713063.0
62,700016095,SRR045421,G_DNA_R_Antecubital fossa,159005010.0
90,700015009,SRR045449,G_DNA_Anterior nares,158822939.0
92,700015295,SRR045451,G_DNA_L_Antecubital fossa,158802708.0
93,700014976,SRR045452,G_DNA_Hard palate,158822939.0
94,700015668,SRR045453,G_DNA_R_Retroauricular crease,158924089.0
98,700015006,SRR045457,G_DNA_R_Antecubital fossa,158822939.0
99,700015644,SRR045458,G_DNA_Hard palate,158924089.0
100,700015003,SRR045459,G_DNA_L_Antecubital fossa,158822939.0
101,700015641,SRR045460,G_DNA_Tongue dorsum,158924089.0
102,700015650,SRR045461,G_DNA_Attached/Keratinized gingiva,158924089.0
105,700015000,SRR045464,G_DNA_R_Retroauricular crease,158822939.0
106,700033032,SRR045465,G_DNA_R_Antecubital fossa,159247771.0
107,700033185,SRR045466,G_DNA_L_Antecubital fossa,159733294.0
110,700016376,SRR045469,G_DNA_Anterior nares,159005010.0
114,700033783,SRR045473,G_DNA_R_Antecubital fossa,159713063.0
116,700016089,SRR045475,G_DNA_L_Retroauricular crease,159005010.0
118,700033189,SRR045477,G_DNA_Anterior nares,159733294.0
120,700033485,SRR045479,G_DNA_L_Antecubital fossa,159470302.0
121,700015268,SRR045480,G_DNA_Hard palate,158802708.0
126,700015289,SRR045485,G_DNA_L_Retroauricular crease,158802708.0
128,700033002,SRR045487,G_DNA_Hard palate,159247771.0
129,700033489,SRR045488,G_DNA_R_Antecubital fossa,159470302.0
132,700016341,SRR045491,G_DNA_R_Antecubital fossa,159085930.0
133,700015280,SRR045492,G_DNA_Throat,158802708.0
189,700038602,SRR045851,G_DNA_Hard palate,404239096.0
190,700038980,SRR045859,G_DNA_Saliva,370027359.0
191,700038612,SRR045860,G_DNA_Supragingival plaque,404239096.0
192,700038771,SRR045862,G_DNA_Buccal mucosa,508703490.0
193,700038986,SRR045863,G_DNA_Hard palate,370027359.0
194,700038606,SRR045865,G_DNA_Attached/Keratinized gingiva,404239096.0
