"","trait","prop","size","type","condition"
"1","acetoin_biosynthesis",NA,NA,"pathway","CRC"
"2","methanogenesis",1,2,"pathway","CRC"
"3","hydrogen_oxidation",NA,NA,"pathway","CRC"
"4","sulfur_oxidation",0,1,"pathway","CRC"
"5","manganese_oxidation",NA,NA,"pathway","CRC"
"6","methanol_oxidation",NA,NA,"pathway","CRC"
"7","fermentation",0.620689655172414,29,"pathway","CRC"
"8","denitrification",0,2,"pathway","CRC"
"9","nitrate_reduction",0.25,4,"pathway","CRC"
"10","putrescine_biosynthesis",0,1,"substrate","CRC"
"11","lactose_deg",0,1,"substrate","CRC"
"12","sucrose_deg",0.25,4,"substrate","CRC"
"13","glycerol_deg",0,1,"substrate","CRC"
"14","4_hydroxybenzoate_biosynthesis",0.5,2,"substrate","CRC"
"15","tryptophan_biosynthesis",1,2,"substrate","CRC"
"16","aspartate_syn",NA,NA,"substrate","CRC"
"17","serine_biosynthesis",0,1,"substrate","CRC"
"18","alanine_syn",1,1,"substrate","CRC"
"19","phenylalanine_syn",1,1,"substrate","CRC"
"20","leucine_syn",NA,NA,"substrate","CRC"
"21","glycine_syn",NA,NA,"substrate","CRC"
"22","arginine_syn",0.75,4,"substrate","CRC"
"23","proline_syn",1,1,"substrate","CRC"
"24","histidine_syn",1,1,"substrate","CRC"
"25","glutamate_syn",1,1,"substrate","CRC"
"26","threonine_biosynthesis",0,1,"substrate","CRC"
"27","asparagine_syn",NA,NA,"substrate","CRC"
"28","trehalose_biosynthesis",NA,NA,"substrate","CRC"
"29","sucrose_biosynthesis",0,3,"substrate","CRC"
"30","itaconate_biosynthesis",NA,NA,"substrate","CRC"
"31","histidine_deg",1,3,"substrate","CRC"
"32","glutamate_deg",0.666666666666667,3,"substrate","CRC"
"33","tryptophan_deg",0,3,"substrate","CRC"
"34","asparagine_deg",NA,NA,"substrate","CRC"
"35","proline_deg",NA,NA,"substrate","CRC"
"36","aspartate_deg",NA,NA,"substrate","CRC"
"37","serine_deg",NA,NA,"substrate","CRC"
"38","alanine_deg",NA,NA,"substrate","CRC"
"39","glycine_deg",NA,NA,"substrate","CRC"
"40","threonine_deg",1,1,"substrate","CRC"
"41","arginine_deg",0.75,4,"substrate","CRC"
"42","leucine_deg",0,1,"substrate","CRC"
"43","phenylalanine_deg",0.5,2,"substrate","CRC"
"44","sorbitol_biosynthesis",NA,NA,"substrate","CRC"
"45","acetoin_biosynthesis",NA,NA,"pathway","IBD"
"46","methanogenesis",1,2,"pathway","IBD"
"47","manganese_oxidation",NA,NA,"pathway","IBD"
"48","methanol_oxidation",NA,NA,"pathway","IBD"
"49","fermentation",0.75,28,"pathway","IBD"
"50","nitrogen_fixation",NA,NA,"pathway","IBD"
"51","denitrification",0,2,"pathway","IBD"
"52","nitrate_reduction",0.25,4,"pathway","IBD"
"53","putrescine_biosynthesis",1,1,"substrate","IBD"
"54","lactose_deg",1,1,"substrate","IBD"
"55","sucrose_deg",0.25,4,"substrate","IBD"
"56","glycerol_deg",1,1,"substrate","IBD"
"57","4_hydroxybenzoate_biosynthesis",0.5,2,"substrate","IBD"
"58","tryptophan_biosynthesis",0,2,"substrate","IBD"
"59","aspartate_syn",NA,NA,"substrate","IBD"
"60","serine_biosynthesis",0,1,"substrate","IBD"
"61","alanine_syn",0,1,"substrate","IBD"
"62","phenylalanine_syn",1,1,"substrate","IBD"
"63","glycine_syn",NA,NA,"substrate","IBD"
"64","arginine_syn",0,4,"substrate","IBD"
"65","proline_syn",1,1,"substrate","IBD"
"66","histidine_syn",0,1,"substrate","IBD"
"67","glutamate_syn",0,1,"substrate","IBD"
"68","threonine_biosynthesis",1,1,"substrate","IBD"
"69","asparagine_syn",NA,NA,"substrate","IBD"
"70","trehalose_biosynthesis",NA,NA,"substrate","IBD"
"71","sucrose_biosynthesis",NA,NA,"substrate","IBD"
"72","histidine_deg",0.666666666666667,3,"substrate","IBD"
"73","glutamate_deg",0.666666666666667,3,"substrate","IBD"
"74","tryptophan_deg",0,2,"substrate","IBD"
"75","asparagine_deg",NA,NA,"substrate","IBD"
"76","proline_deg",NA,NA,"substrate","IBD"
"77","aspartate_deg",NA,NA,"substrate","IBD"
"78","serine_deg",NA,NA,"substrate","IBD"
"79","alanine_deg",NA,NA,"substrate","IBD"
"80","glycine_deg",NA,NA,"substrate","IBD"
"81","threonine_deg",0,1,"substrate","IBD"
"82","arginine_deg",0,4,"substrate","IBD"
"83","phenylalanine_deg",0.5,2,"substrate","IBD"
"84","sorbitol_biosynthesis",NA,NA,"substrate","IBD"
