species_tax_id,genus_tax_id,metabolism,gram_stain,pathways,substrate,sporulation,motility,cell_shape
1243001,1912215,microaerophilic,NA,"NA","NA",NA,NA,NA
1679466,1778601,microaerophilic,NA,"NA","NA",NA,NA,NA
1591092,187,microaerophilic,NA,"NA","NA",NA,NA,NA
1904463,2321187,microaerophilic,NA,"NA","NA",NA,NA,NA
1935204,2321111,microaerophilic,NA,"NA","NA",NA,NA,NA
209458,1386,microaerophilic,NA,"NA","NA",NA,NA,NA
1735111,59735,microaerophilic,NA,"NA","NA",NA,NA,NA
1460875,109471,microaerophilic,NA,"NA","NA",NA,NA,NA
1780362,194,microaerophilic,NA,"NA","NA",NA,NA,NA
1848766,194,microaerophilic,NA,"NA","NA",NA,NA,NA
654363,194,microaerophilic,NA,"NA","NA",NA,NA,NA
1544413,1716,microaerophilic,NA,"NA","NA",NA,NA,NA
1448267,1716,microaerophilic,NA,"NA","NA",NA,NA,NA
1448266,1716,microaerophilic,NA,"NA","NA",NA,NA,NA
1796618,1918450,microaerophilic,NA,"NA","NA",NA,NA,NA
247486,281915,microaerophilic,NA,"NA","NA",NA,NA,NA
913829,2004668,microaerophilic,NA,"NA","NA",NA,NA,NA
1453587,1350,microaerophilic,NA,"NA","NA",NA,NA,NA
1159753,1350,microaerophilic,NA,"NA","NA",NA,NA,NA
1159752,1350,microaerophilic,NA,"NA","NA",NA,NA,NA
1805431,1350,microaerophilic,NA,"NA","NA",NA,NA,NA
1769422,2023242,microaerophilic,NA,"NA","NA",NA,NA,NA
1245754,1229970,microaerophilic,NA,"NA","NA",NA,NA,NA
1576610,209,microaerophilic,NA,"NA","NA",NA,NA,NA
1869279,209,microaerophilic,NA,"NA","NA",NA,NA,NA
1868794,1470540,microaerophilic,NA,"NA","NA",NA,NA,NA
1868793,1470540,microaerophilic,NA,"NA","NA",NA,NA,NA
1550907,454159,microaerophilic,NA,"NA","NA",NA,NA,NA
1494461,1357,microaerophilic,NA,"NA","NA",NA,NA,NA
1406906,1243,microaerophilic,NA,"NA","NA",NA,NA,NA
1908258,1960084,microaerophilic,NA,"NA","NA",NA,NA,NA
1908257,1960084,microaerophilic,NA,"NA","NA",NA,NA,NA
1907939,1960084,microaerophilic,NA,"NA","NA",NA,NA,NA
