sample-id	input	filtered	percentage of input passed filter	denoised	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric
1939.MGH100079	70418	68318	97.02	68016	64165	91.12
1939.MGH100698	3898	3545	90.94	3534	3524	90.41
1939.MGH100896.a	2670	2364	88.54	2350	2212	82.85
1939.MGH100896.b	70393	66060	93.84	65976	62777	89.18
1939.MGH101010	3636	3421	94.09	3415	3314	91.14
1939.MGH101089	11683	9955	85.21	9926	9676	82.82
1939.MGH102701	4845	4529	93.48	4513	4465	92.16
1939.MGH102797	3321	2961	89.16	2929	2854	85.94
1939.MGH103108	15000	13836	92.24	13796	13431	89.54
1939.MGH103128	34108	33565	98.41	33544	33497	98.21
1939.MGH103660	3374	3183	94.34	3157	3144	93.18
1939.MGH103728	5687	5271	92.69	5242	4921	86.53
1939.MGH103785	4947	4653	94.06	4642	4432	89.59
1939.MGH104119	1952	1895	97.08	1877	1872	95.9
1939.MGH104824.a	854	827	96.84	820	766	89.7
1939.MGH104824.b	19525	19148	98.07	19124	18369	94.08
1939.MGH105234	7499	6892	91.91	6832	6525	87.01
1939.MGH105361	5166	4551	88.1	4533	4129	79.93
1939.MGH105618	4229	4103	97.02	4069	4010	94.82
1939.MGH105693	9441	8150	86.33	8110	7574	80.22
1939.MGH105700	4150	3759	90.58	3734	3707	89.33
1939.MGH109339	1117	1059	94.81	1050	1034	92.57
1939.MGH109531	4324	4129	95.49	4107	4097	94.75
1939.MGH109812	23988	23435	97.69	23374	23289	97.09
1939.MGH113059	8255	7318	88.65	7285	7006	84.87
1939.MGH113364	8931	8539	95.61	8500	7667	85.85
1939.SKBTI.0097	96492	91995	95.34	91882	89102	92.34
1939.SKBTI.0098.a	116548	106760	91.6	106545	105062	90.14
1939.SKBTI.0098.b	8567	8003	93.42	7985	7820	91.28
1939.SKBTI.0100	49719	47367	95.27	47306	46942	94.41
1939.SKBTI.0102.a	110306	104625	94.85	104465	104065	94.34
1939.SKBTI.0102.b	9821	9359	95.3	9331	9246	94.15
1939.SKBTI.0103	29962	28392	94.76	28337	27613	92.16
1939.SKBTI.0104	65944	61956	93.95	61866	59770	90.64
1939.SKBTI.0107.a	26529	24342	91.76	24272	23330	87.94
1939.SKBTI.0107.b	10052	9591	95.41	9561	9377	93.28
1939.SKBTI.0108	33404	31673	94.82	31625	30935	92.61
1939.SKBTI.0110	840	790	94.05	782	732	87.14
1939.SKBTI.0111	555	522	94.05	503	485	87.39
1939.SKBTI.0112.a	73658	67282	91.34	67027	64688	87.82
1939.SKBTI.0112.b	9623	8951	93.02	8918	8798	91.43
1939.SKBTI.0113	24753	23632	95.47	23616	23565	95.2
1939.SKBTI.0114	25537	24380	95.47	24345	22706	88.91
1939.SKBTI.0115.a	65099	62413	95.87	62342	60778	93.36
1939.SKBTI.0115.b	10680	10083	94.41	10044	9986	93.5
1939.SKBTI.0116	514	474	92.22	467	453	88.13
1939.SKBTI.0117	63396	59572	93.97	59477	57910	91.35
1939.SKBTI.0118	34083	32500	95.36	32446	32304	94.78
1939.SKBTI.0119	54019	50647	93.76	50593	50440	93.37
1939.SKBTI.0120	82225	78327	95.26	78221	75688	92.05
1939.SKBTI.0121	1072	1038	96.83	1026	1017	94.87
1939.SKBTI.0122.a	119069	116512	97.85	116424	111629	93.75
1939.SKBTI.0122.b	8612	8275	96.09	8258	7989	92.77
1939.SKBTI.0123	69385	66098	95.26	65918	58662	84.55
1939.SKBTI.0124	65154	62120	95.34	62071	61640	94.61
1939.SKBTI.0125	2793	2623	93.91	2608	2570	92.02
1939.SKBTI.0126	13207	12065	91.35	12038	8318	62.98
