study_accession	sample_accession	experiment_accession	run_accession	library_strategy	read_count	experiment_title	fastq_ftp	fastq_aspera	submitted_ftp	sra_ftp	sra_aspera	sample_alias	sample_title
PRJEB6070	SAMEA2448331	ERX441298	ERR475467	AMPLICON	101177	Illumina MiSeq paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475467/ERR475467_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475467/ERR475467_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475467/ERR475467_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475467/ERR475467_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475467/CCIS63888116ST.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475467/CCIS63888116ST.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR475/ERR475467	fasp.sra.ebi.ac.uk:/vol1/err/ERR475/ERR475467	CCIS63888116ST	Human stool sample from host FR-026
PRJEB6070	SAMEA2448332	ERX441299	ERR475468	AMPLICON	229626	Illumina MiSeq paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475468/ERR475468_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475468/ERR475468_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475468/ERR475468_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475468/ERR475468_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475468/CCIS55535410ST.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475468/CCIS55535410ST.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR475/ERR475468	fasp.sra.ebi.ac.uk:/vol1/err/ERR475/ERR475468	CCIS55535410ST	Human stool sample from host FR-027
PRJEB6070	SAMEA2448333	ERX441300	ERR475469	AMPLICON	117396	Illumina MiSeq paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475469/ERR475469_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475469/ERR475469_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475469/ERR475469_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475469/ERR475469_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475469/CCIS10150843ST.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475469/CCIS10150843ST.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR475/ERR475469	fasp.sra.ebi.ac.uk:/vol1/err/ERR475/ERR475469	CCIS10150843ST	Human stool sample from host FR-030
PRJEB6070	SAMEA2448334	ERX441301	ERR475470	AMPLICON	105952	Illumina MiSeq paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475470/ERR475470_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475470/ERR475470_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475470/ERR475470_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475470/ERR475470_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475470/CCIS52674325ST.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475470/CCIS52674325ST.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR475/ERR475470	fasp.sra.ebi.ac.uk:/vol1/err/ERR475/ERR475470	CCIS52674325ST	Human stool sample from host FR-039
PRJEB6070	SAMEA2448335	ERX441302	ERR475471	AMPLICON	103705	Illumina MiSeq paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475471/ERR475471_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475471/ERR475471_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475471/ERR475471_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475471/ERR475471_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475471/CCIS54258614ST.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475471/CCIS54258614ST.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR475/ERR475471	fasp.sra.ebi.ac.uk:/vol1/err/ERR475/ERR475471	CCIS54258614ST	Human stool sample from host FR-040
PRJEB6070	SAMEA2448336	ERX441303	ERR475472	AMPLICON	110455	Illumina MiSeq paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475472/ERR475472_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475472/ERR475472_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475472/ERR475472_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475472/ERR475472_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475472/CCIS63525104ST.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475472/CCIS63525104ST.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR475/ERR475472	fasp.sra.ebi.ac.uk:/vol1/err/ERR475/ERR475472	CCIS63525104ST	Human stool sample from host FR-051
PRJEB6070	SAMEA2448337	ERX441304	ERR475473	AMPLICON	96288	Illumina MiSeq paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475473/ERR475473_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475473/ERR475473_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475473/ERR475473_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475473/ERR475473_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475473/CCIS41316911ST.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475473/CCIS41316911ST.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR475/ERR475473	fasp.sra.ebi.ac.uk:/vol1/err/ERR475/ERR475473	CCIS41316911ST	Human stool sample from host FR-052
PRJEB6070	SAMEA2448338	ERX441305	ERR475474	AMPLICON	120882	Illumina MiSeq paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475474/ERR475474_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475474/ERR475474_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475474/ERR475474_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475474/ERR475474_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475474/CCIS11359688ST.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475474/CCIS11359688ST.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR475/ERR475474	fasp.sra.ebi.ac.uk:/vol1/err/ERR475/ERR475474	CCIS11359688ST	Human stool sample from host FR-053
PRJEB6070	SAMEA2448339	ERX441306	ERR475475	AMPLICON	120111	Illumina MiSeq paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475475/ERR475475_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475475/ERR475475_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475475/ERR475475_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475475/ERR475475_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475475/CCIS72691826ST.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475475/CCIS72691826ST.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR475/ERR475475	fasp.sra.ebi.ac.uk:/vol1/err/ERR475/ERR475475	CCIS72691826ST	Human stool sample from host FR-054
PRJEB6070	SAMEA2448340	ERX441307	ERR475476	AMPLICON	216451	Illumina MiSeq paired end sequencing	ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475476/ERR475476_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR475/ERR475476/ERR475476_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475476/ERR475476_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR475/ERR475476/ERR475476_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475476/CCIS52699533ST.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR475/ERR475476/CCIS52699533ST.2.fq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR475/ERR475476	fasp.sra.ebi.ac.uk:/vol1/err/ERR475/ERR475476	CCIS52699533ST	Human stool sample from host FR-060
